adsId,monthlyRent
100597745,0
100088726,0
99824951,0
99674816,0
100107882,0
100229680,0
100219327,0
100849484,0
99901181,0
100849472,0
100837583,0
100634847,0
99826223,0
99742594,0
100524155,0
100189134,0
99547226,0
100170882,0
100573762,0
99915891,0
99825130,0
100436897,0
97759453,0
100532992,0
95056891,0
100582074,0
100706880,0
100274495,0
99786379,0
82853511,0
100119040,0
99874216,0
99754565,0
100843268,0
100850772,0
100627759,0
99743350,0
100600531,0
100043236,0
100849048,0
98562005,0
100744908,0
100018447,0
99734096,0
100005678,0
100245709,0
100595182,0
100190400,0
100836065,0
100644484,0
100165071,0
100266047,0
100786338,0
99865288,0
98842621,0
100708436,0
100748562,0
99740302,0
100685071,0
100213567,0
100200952,0
100839045,0
99917073,0
100215972,0
99901080,0
100547369,0
99917449,0
100302608,0
100546246,0
100809985,0
97602497,0
100720346,0
100780117,0
100207856,0
99828016,0
99389834,0
100284983,0
100219723,0
100759316,0
100259827,0
100299551,0
100834585,0
100056247,0
100749013,0
100190977,0
100079297,0
97326745,0
79948894,0
100663846,0
100482485,0
99827552,0
100492503,0
98287915,0
100308548,0
100655510,0
100523588,0
100799059,0
100612724,0
100543059,0
100641531,0
99926532,0
100087402,0
100180212,0
99424680,0
98660831,0
100572485,0
100503967,0
100543088,0
100010982,0
100569610,0
100741580,0
99951868,0
100827291,0
100755113,0
100802638,0
99223291,0
99979895,0
99935253,0
99606862,0
99766302,0
100213794,0
98875461,0
99988496,0
100628223,0
97447922,2
100336917,10
100549909,70
99410613,80
98342005,80
100676485,85
99974016,90
100213071,100
100578461,100
99846469,100
100183866,100
100163744,100
99872270,100
99389782,100
100129853,100
100255897,110
99955705,120
97105324,120
100501147,120
100694064,120
99974687,120
98295641,145
100308522,150
100627409,150
100775428,150
100810227,150
100149093,150
100839756,150
100221594,150
100230309,150
100203686,150
99945149,180
100734513,190
99970576,200
100297669,200
99820199,200
100746320,200
100193339,200
100843243,200
100235815,200
100617887,220
100548919,241
99854285,250
100124617,250
100309234,250
100161971,250
93468600,260
100251235,260
97452056,270
100839352,270
100519084,280
100597707,280
99229630,280
100406363,290
100495923,300
100821182,300
100604727,300
100416953,300
100666033,300
100682484,300
100777381,300
100270162,350
100679401,350
99858770,350
99991427,350
96504257,350
99149066,350
98965977,350
100532800,370
100772411,370
97944099,380
100672542,380
100723671,380
99243033,390
100720644,400
95909338,400
100837457,400
100725285,400
100393445,400
93468486,400
100631268,400
100222371,400
100548118,400
100677047,400
100687095,400
100658308,400
100565020,400
100549014,400
100273302,400
100163819,400
100647868,400
100676692,400
100559678,400
100362528,400
100672431,400
99315864,430
100777113,450
99665401,450
100756754,450
100037498,450
100741293,450
100147614,450
99666741,450
99938252,450
100716744,450
100512587,450
100393473,450
100047657,450
100548957,450
100408655,450
100368907,450
100353988,450
100510794,450
98053444,450
100103687,450
99035341,450
100658525,450
100690999,450
100409346,460
98772542,460
100651875,480
100693302,480
100828096,499
100500045,499
100720845,500
100582083,500
100740043,500
100741367,500
100683996,500
100673345,500
100744300,500
100814851,500
100827277,500
100553456,500
100650328,500
100724547,500
100825526,500
100710594,500
100650347,500
100631290,500
100831603,500
100503141,500
100853404,500
100631765,500
98905167,500
100801018,500
98279879,500
100780477,500
97500117,500
100617735,500
95579809,500
100641964,500
100802163,500
99825891,500
100666762,500
100584023,500
100508988,500
100545486,500
100771031,500
100095189,500
100520472,500
100751614,500
97797618,500
100800125,500
100585039,500
97500117,500
100299637,500
100589788,500
